route_id,agency_id,route_short_name,route_long_name,route_type
1275,PMPML,211,Saswad to Uruli Kanchan (DOWN),3
679,PMPML,336,Kesnand Phata Wagholi to Bhakti Shakti Stand (DOWN),3
430,PMPML,227AB,Lahavaharde Gaon to Marketyard Depot (UP),3
233,PMPML,161D,Dnyan Ganga University Shirur to Wagholi Depot (UP),3
513,PMPML,291,Katraj Kondhwa Road to Hadapsar Gadital (DOWN),3
1077,PMPML,K12,Abhinav Collage Narhe to Katraj (DOWN),3
1072,PMPML,K11,Katraj to Jambhulwadi (UP),3
510,PMPML,290,Swargate to Jambhulwadi (UP),3
781,PMPML,366,Pune Station Depot to Nigdi Bhakti Shakti (DOWN),3
459,PMPML,234,Ma Na Pa Shramik Bhavan to Dhole Patil Collage (DOWN),3
422,PMPML,221,I V Estate Wagholi to Kesnand Phata Wagholi (UP),3
354,PMPML,1,Shivaji Nagar to Pune Station Moledina Stand (DOWN),3
1054,PMPML,B2,DY Patil College Charholi to Alandi (UP),3
421,PMPML,220,Hadapsar Gadital to Zilla Parishad Shala Kesnand (DOWN),3
420,PMPML,220,Zilla Parishad Shala Kesnand to Hadapsar Gadital (UP),3
843,PMPML,42,Gujarwadi Pmt Bus Stand to Nigdi Bhakti Shakti (DOWN),3
418,PMPML,21,Sangvi Vasantdada Putala to Swargate (UP),3
362,PMPML,203B,Bhekrai Nagar to Pune Station St. Helena'S Stand (DOWN),3
309,PMPML,183B,Kesnand Phata Wagholi to Hadapsar Gadital Solapur Road (UP),3
1228,PMPML,383B,Megapolis Phase 3 to Sangvi Vasantdada Putala (UP),3
484,PMPML,262,Sant Tukaram Maharaj Krida Sankul Dehugaon to Pune Station Moledina Stand (UP),3
417,PMPML,21A,Swargate to Sangvi Vasantdada Putala (DOWN),3
489,PMPML,26,Dhankawadi to Shivaji Nagar (DOWN),3
770,PMPML,363C,Samir Lawns Ravet to Nigdi Pawale Chowk (UP),3
469,PMPML,24,Katraj to Maharashtra Housing Board Samta Nagar (DOWN),3
1258,PMPML,171B,Kedgaon Chaufula to Hadapsar Gadital Solapur Road (UP),3
1212,PMPML,218A,Virgaon to Saswad (UP),3
454,PMPML,233B,Bhadasgaon to Marketyard Depot (UP),3
411,PMPML,216,Bharati Vidyapeeth to Shivaji Nagar (DOWN),3
283,PMPML,175A,SRA Colony Jahangir Nagar to Shaniwarwada Stand (UP),3
690,PMPML,343A,Talegaon Dhabhade Maruti Mandir to Bhosari Chakan Road (UP),3
313,PMPML,184,Ramdara to Hadapsar Gadital Solapur Road (UP),3
303,PMPML,181,Kondhwa Budruk to Na Ta Wadi (UP),3
978,PMPML,83A,Alandi to Kothrud Stand (UP),3
1246,PMPML,289,Shewalewadi Depot to Upper Depot (UP),3
407,PMPML,216A,Bharati Vidyapeeth to Pune Vidyapeeth (DOWN),3
446,PMPML,231B,Shilim Gaon to Paud St Stand (UP),3
64,PMPML,11B,Dapodi Mantri Niketan to Marketyard Depot (UP),3
437,PMPML,228A,Balewadi Depot to Vadgaon Mawal (DOWN),3
399,PMPML,213A,St Stand Saswad to Nira (DOWN),3
398,PMPML,213A,Nira to St Stand Saswad (UP),3
1307,PMPML,YATRA 25,Narayanpur to Swargate (UP),3
38,PMPML,114,Bajirao Padale Chowk Mhalunge to Ma Na Pa Main Gate (UP),3
1001,PMPML,86,Deccan Gymkhana to Paud St Stand (DOWN),3
535,PMPML,297,Rajas Society to Shivaji Nagar (DOWN),3
396,PMPML,212,Morgaon St Stand to Hadapsar Gadital (UP),3
873,PMPML,50,Shaniwarwada Stand to Sinhgad (DOWN),3
387,PMPML,209,Katraj Kondhwa Road to Saswad (DOWN),3
1255,PMPML,385RING,Chakan Ambethan Chowk to Chakan Ambethan Chowk (UP),3
865,PMPML,50B,Swargate Natraj Stand to Sinhgad (DOWN),3
382,PMPML,209A,Saswad to Swargate (UP),3
274,PMPML,170B,Pune Station Depot to Yewalewadi (DOWN),3
788,PMPML,368,Lonavala Railway Station to Nigdi Pawale Chowk (UP),3
380,PMPML,208,Hinjawadi Maan Phase 3 to Bhekrai Nagar (UP),3
350,PMPML,19B,VIIT College Kondhwa Budruk to Swargate (DOWN),3
1243,PMPML,208B,Mahatma Gandhi Stand to Hinjawadi Maan Phase 3 (DOWN),3
95,PMPML,126D,Pimple Nilakh to Khadki Bazar (UP),3
1211,PMPML,208A,Bhekrai Nagar to Ma Na Pa Shramik Bhavan (DOWN),3
651,PMPML,329B,Siddhanta College Sudumbare to Nigdi Pawale Chowk (UP),3
435,PMPML,227,Marketyard Depot to Marnewadi (DOWN),3
530,PMPML,296A,Vangniwadi to Balaji Nagar Corner Satara Road (UP),3
66,PMPML,11C,Pimplegurav to Katraj (UP),3
971,PMPML,81,Kumbare Park to Pune Station Moledina Stand (DOWN),3
375,PMPML,207K,Narayanpur to Hadapsar Gadital (UP),3
373,PMPML,207,Saswad to Swargate (UP),3
419,PMPML,21,Swargate to Sangvi Vasantdada Putala (DOWN),3
742,PMPML,358B,Chakan Ambethan Chowk to Bhosari Chakan Road (UP),3
365,PMPML,204,Chinchwadgaon Aundh Road to Bhekrai Nagar (UP),3
646,PMPML,327B,Alandi to Bhosari Pmt Chowk (DOWN),3
1066,PMPML,H9,Manjari Budruk to Hadapsar Gadital Solapur Road (UP),3
358,PMPML,201,Bhekrai Nagar to Alandi (DOWN),3
140,PMPML,13B,Pune Vidyapeeth to Upper Depot (UP),3
463,PMPML,236,Katraj to Kesnand Phata Wagholi (DOWN),3
